Title,Link,Summary,Published Date,Source,Location
"Bonds backed by commercial mortgages are a 'disaster' as real estate values crumble, hedge funder says",https://markets.businessinsider.com/news/bonds/real-estate-crash-commercial-property-prices-investing-mortgage-backed-securities-2024-8,"The CMBS market is in trouble, one hedge fund boss says, as loans on offices across the US are at risk of defaulting.",2024-08-30T18:11:23Z,Business Insider,US
Turkey has blocked Roblox over child exploitation reports,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_ececfff2-f431-4a80-a421-e64433405805,"Just five days after blocking Instagram, Turkey has banned Roblox over reports of inappropriate sexual content perceived as exploiting children, Türkiye Today reported. An official from the Türkiye Directorate of Communications also cited ""promotion of homose…",2024-08-08T12:00:18Z,Yahoo Entertainment,"Turkey, Instagram, Turkey"
WATCH: Radio station shakes during Japan earthquake,https://abcnews.go.com/International/video/radio-station-shakes-japan-earthquake-112677589,A local radio station's office could be seen vigorously shaking in footage captured during a strong earthquake that rocked the coast of southern Japan on Thursday.,2024-08-08T14:54:21Z,ABC News,"Japan, Japan"
How Marshall Fire Victims in Colorado Turned Tragedy Into Political Change,https://gizmodo.com/how-marshall-fire-victims-in-colorado-turned-tragedy-into-political-change-2000486538,"After the fire destroyed his town in 2021, a state rep took on insurance companies, mortgage lenders, and landlords—and beat them all.",2024-08-13T18:25:20Z,Gizmodo.com,Colorado
Campers leave early as Storm Lilian sweeps in,https://www.bbc.com/news/articles/ckgjee5e163o,"Storm Lilian is expected to bring strong winds during Friday, with warnings of travel disruption.",2024-08-23T06:44:56Z,BBC News,
Alaskans recount escapes after a record-breaking glacial outburst flood hits Juneau,https://www.npr.org/2024/08/08/nx-s1-5066891/alaskans-recount-escapes-after-a-record-breaking-glacial-outburst-flood-hits-juneau,"For the second year in a row, an outburst of flooding from a naturally dammed lake at the Mendenhall Glacier has caused damage to homes in Juneau.",2024-08-08T09:14:52Z,NPR,Juneau
Big polluters urged to pay as key Pacific summit opens in Tonga,https://www.yahoo.com/news/big-polluters-urged-pay-key-050143798.html,"Emissions-belching nations were challenged to stump up for climate-related damage as a key Pacific islands summit opened on Monday, with low-lying Tuvalu...",2024-08-26T05:01:43Z,Yahoo Entertainment,
"Wild Week of U.S. Weather Includes Heat Wave, Tropical Storm, Snow, and More",https://time.com/7015078/extreme-weather-us/,Many parts of the country have faced everything from heat waves to snowstorms to flash floods.,2024-08-27T12:19:04Z,Time,U.S.
"7.1 magnitude earthquake strikes coast of Japan, tsunami advisories triggered",https://abcnews.go.com/International/71-magnitude-earthquake-strikes-coast-japan/story?id=112669098,A strong earthquake with a preliminary magnitude of 7.1 has rocked the coast of southern Japan.,2024-08-08T08:41:50Z,ABC News,"Japan, Japan"
Trump Rambled About ‘Nuclear Warming’ in a Disastrous Two Hour Talk with Elon Musk,https://gizmodo.com/trump-rambled-about-nuclear-warming-in-a-disastrous-two-hour-talk-with-elon-musk-2000486288,The former president lisped his way through easy questions from one of the richest men on the planet.,2024-08-13T13:40:26Z,Gizmodo.com,
